,entry_prices,entry_quantities
BTCUSDT,59288.01666666666,-0.012
ETHUSDT,2504.034612903226,-0.234
XRPUSDT,0.5467,-1047.5000000000002
SOLUSDT,138.02516666666668,-4.0
DOGEUSDT,0.0995256894339084,-5998.0
LINKUSDT,10.937,-53.33
LTCUSDT,65.31,9.101
PEOPLEUSDT,0.0636147138356523,-9607.0
GALAUSDT,0.0187601149639407,-32137.0
UNFIUSDT,2.8492505729661173,-231.0
SANDUSDT,0.2534828419182948,-2376.0
THETAUSDT,1.2423415467314027,500.9
ATOMUSDT,4.590022050716648,-134.11
