,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,LINKUSDT,LTCUSDT,PEOPLEUSDT,GALAUSDT,UNFIUSDT,SANDUSDT,THETAUSDT,ATOMUSDT
,0,1,4,5,6,7,9,10,11,12,2,3,8
2024-08-10 09:00:00+00:00,2,8,3,1,4,5,6,9,10,11,12,0,7
2024-08-11 09:00:00+00:00,0,2,8,7,3,4,6,10,11,12,1,5,9
2024-08-12 09:00:00+00:00,7,3,8,9,1,5,2,0,4,6,10,11,12
2024-08-21 09:00:00+00:00,8,9,5,2,6,11,10,0,7,4,1,3,12
2024-08-23 09:00:00+00:00,8,3,7,11,10,12,5,9,4,1,6,2,0
2024-08-27 09:00:00+00:00,0,5,6,12,11,4,10,8,7,2,1,3,9
2024-08-28 09:00:00+00:00,3,1,2,7,9,0,5,6,8,11,4,10,12
2024-08-29 09:00:00+00:00,2,7,4,9,12,1,10,11,6,0,3,5,8
2024-09-01 09:00:00+00:00,0,1,6,5,4,8,11,12,10,3,9,7,2
2024-09-02 09:00:00+00:00,3,9,10,7,8,4,5,2,11,12,1,0,6
