,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,LINKUSDT,LTCUSDT,PEOPLEUSDT,GALAUSDT,UNFIUSDT,SANDUSDT,THETAUSDT,ATOMUSDT
2024-08-09 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10 09:00:00,-1.8917489796876906e-13,0.0,9.84384000000013,-22.56,0.0,0.0,0.0,1.857056175502692e-13,-0.9467799999999614,0.0,0.0,0.0,0.0
2024-08-11 09:00:00,-35.148800000000165,-0.0,-47.73971999999991,-102.872,0.0,-0.0,0.0,-115.59799999999828,72.69591000000001,0.0,0.0,0.0,0.0
2024-08-12 09:00:00,-15.663000000000102,-36.297,-12.662649999999994,-39.7879999999999,0.0,-31.156020000000048,6.873079883007449e-14,6.696640000000957,3.550899999999978,37.03600000000003,0.0,0.0,0.0
2024-08-13 09:00:00,-3.394000000000087,-31.906480000000027,-3.767399999999932,-38.49199999999996,-8.503879999999999,-32.22648000000006,18.572159999999947,-15.855279999999048,1.06527000000008,41.96100000000001,6.325200000000056,8.60859999999994,-7.85709000000002
2024-08-14 09:00:00,-22.418000000000102,-22.92706000000001,-12.244049999999923,-50.17599999999993,-30.31578000000005,-22.14162000000004,24.956339999999983,-54.55791999999907,8.522160000000023,32.30800000000003,-18.74969999999994,-11.061050000000003,-36.00188999999994
2024-08-15 09:00:00,-33.78900000000009,-3.069439999999984,-20.51139999999993,-54.59999999999991,-42.574620000000046,-9.634140000000066,37.24104999999994,-90.50311999999902,23.43594000000003,19.700000000000017,-37.0476,-15.31529999999998,-65.90573999999992
2024-08-16 09:00:00,-20.350000000000072,-8.037659999999976,-17.476549999999925,-68.80799999999999,-41.74632000000006,-7.098840000000069,48.55845999999996,-98.57847999999902,33.37846,25.019000000000045,-34.11090000000001,-23.67365000000006,-60.86313000000001
2024-08-17 09:00:00,-14.214000000000087,-12.759539999999944,-14.65099999999989,-57.4319999999999,-28.32786000000005,-8.845380000000002,59.00529999999995,-82.72319999999903,-7.456889999999943,50.038,-25.52669999999995,-23.823800000000045,-54.17873999999997
2024-08-18 09:00:00,-24.999000000000088,-12.212359999999997,-18.10444999999997,-55.3359999999999,-43.40292000000003,-4.6762200000000105,47.01078,-65.09527999999902,-7.101799999999957,55.35700000000003,-19.201500000000017,-30.980950000000032,-59.45588999999996
2024-08-19 09:00:00,-14.914000000000089,-17.549,18.73235000000002,-47.94799999999998,-36.27954000000003,-10.253880000000022,46.62385999999994,-54.16399999999902,-18.464679999999987,75.25400000000002,-8.584200000000058,-13.063050000000006,-51.59879999999994
2024-08-20 09:00:00,-19.070000000000075,-3.675480000000028,13.8138000000001,-55.91199999999992,-27.499560000000063,-13.296240000000038,28.34188999999993,-31.90751999999904,-38.70481000000002,33.687000000000054,-5.42160000000003,-4.854850000000021,-33.65648999999999
2024-08-21 09:00:00,1.8407999999999305,-16.291139999999896,19.50004000000005,-53.84799999999999,-9.497839999999927,64.51196000000002,25.82342000000001,3.3483200000010003,-49.09312000000003,71.8659,22.640800000000045,23.38185,-38.3472899999999
2024-08-22 09:00:00,-4.320000000000058,-14.615879999999873,17.211770000000087,-51.68300000000002,-14.55763999999976,78.22208000000008,21.08602999999996,12.8897600000013,-55.92063999999998,65.36639999999997,26.3417,63.733619999999945,-45.26353999999986
2024-08-23 09:00:00,25.039999999999875,-46.30053999999984,30.24496000000005,-1.0703999999999496,28.506880000000216,109.04328000000008,42.91517999999993,91.10969000000128,0.0,111.0486,79.24279999999987,106.97798999999996,5.539459999999976
2024-08-24 09:00:00,26.10259999999986,-47.50071999999988,32.04847999999998,28.249599999999987,26.19040000000069,125.49384000000008,47.91437999999997,161.4940500000012,0.0,106.0261,86.58360000000008,108.68493999999998,39.18184999999993
2024-08-25 09:00:00,26.913299999999825,-42.040149999999805,17.95848000000003,21.5376,8.146240000000665,111.89928,29.27153000000005,140.8693300000013,0.0,79.50729999999999,65.70819999999996,86.59212999999991,1.0808299999999265
2024-08-26 09:00:00,11.704699999999844,-25.80036999999985,3.86847999999996,14.225599999999986,-18.73711999999932,96.81960000000004,10.62867999999999,121.0455700000012,0.0,37.720100000000045,29.69239999999997,63.91407999999992,-22.56342000000005
2024-08-27 09:00:00,0.0,29.793860000000063,-19.68999999999981,-27.074399999999912,0.0,0.0,0.0,68.68281000000103,0.0,68.35134435042295,0.0,3.282823410509108e-15,0.0
2024-08-28 09:00:00,0.0,-8.798096322580577,-7.601224474016826,0.0,-0.0,0.0,0.0,19.22033877001996,0.0,79.01568183175705,-0.0,0.0,-0.0
2024-08-29 09:00:00,-0.0,-6.139726838709698,2.7328402272548213e-15,-0.0,-5.220000000000004,-0.0,0.0,57.82630524415964,-0.0,54.29803285216521,4.150500000000004,-11.360910000000018,-1.5164000000001023
2024-08-30 09:00:00,2.72279999999993,-5.783686838709582,1.5959718500386597e-15,10.135000000000076,-15.242399999999982,-11.312070000000087,0.0,76.34590524415958,-44.332260000000005,47.22403285216517,-3.8737999999998807,-14.044140000000104,-7.278720000000006
2024-08-31 09:00:00,4.575599999999947,-2.173606838709602,1.686921320215943e-15,23.41000000000008,-11.692800000000007,-4.60152000000006,0.0,73.32640524415964,-7.450800000000084,55.60803285216518,6.087400000000097,-25.40505,5.913959999999954
2024-09-01 09:00:00,20.550999999999984,21.301876258064503,-0.0,57.68500000000006,31.598400000000016,36.93997999999996,0.0,53.76026620766491,42.842100000000045,122.9420328521653,51.46620000000001,-54.406770000000016,45.643640000000026
