,current_balance,free_cash
,8000,8000
2024-08-10 09:00:00+00:00,7976.62677,4.4054900000001
2024-08-11 09:00:00+00:00,7651.05657,292.51952000000074
2024-08-12 09:00:00+00:00,7730.693310000002,-381.36459999999806
2024-08-13 09:00:00+00:00,7753.506060000002,14.17428000000291
2024-08-14 09:00:00+00:00,7604.169870000002,67.21662000000288
2024-08-15 09:00:00+00:00,7526.403070000002,161.77438000000257
2024-08-16 09:00:00+00:00,7545.188830000002,176.7935800000023
2024-08-17 09:00:00+00:00,7598.080630000003,82.18604000000232
2024-08-18 09:00:00+00:00,7580.777850000002,92.32890000000225
2024-08-19 09:00:00+00:00,7686.767500000002,47.77454000000216
2024-08-20 09:00:00+00:00,7660.820580000001,28.956600000001345
2024-08-21 09:00:00+00:00,7756.035330000002,-136.30331999999817
2024-08-22 09:00:00+00:00,7921.599010000003,113.87724000000162
2024-08-23 09:00:00+00:00,8257.534170000004,-132.85975999999573
2024-08-24 09:00:00+00:00,8415.705390000003,55.884970000004614
2024-08-25 09:00:00+00:00,8222.680340000004,66.80611000000499
2024-08-26 09:00:00+00:00,7997.754570000005,99.28567000000567
2024-08-27 09:00:00+00:00,7611.382470000004,210.47413000000415
2024-08-28 09:00:00+00:00,7653.841374350426,162.22989435042564
2024-08-29 09:00:00+00:00,7683.7177243504275,-15.677795649572545
2024-08-30 09:00:00+00:00,7646.456808824444,-139.1573611755557
2024-08-31 09:00:00+00:00,7729.4937688244445,55.67737882444453
2024-09-01 09:00:00+00:00,7945.248838824444,787.7574588244443
2024-09-02 09:00:00+00:00,7726.25957978795,-596.3296402120495
2024-09-03 09:00:00+00:00,7974.091769787949,530.8754997879478
2024-09-04 09:00:00+00:00,7879.753749787948,306.0200797879479
2024-09-05 09:00:00+00:00,8043.295959787949,663.0482597879491
