open_time,open,high,low,close,volume,quote_asset_vol,trade_num,taker_buy_base_vol,taker_buy_quote_vol
2019-09-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-07 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-31 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-07 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-07 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-31 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-09-27 18:00:00,0.2414,0.2446,0.2373,0.2435,127606206.0,30774544.03352,230144.0,64740742.3,15616089.07049
2020-09-28 18:00:00,0.2435,0.2486,0.2393,0.2412,180246890.4,44112234.99364,230623.0,83383804.2,20422414.58105
2020-09-29 18:00:00,0.2412,0.2467,0.2384,0.2428,157871096.6,38277065.07247,245148.0,76897816.3,18652405.16295
2020-09-30 18:00:00,0.2428,0.2429,0.2374,0.2416,130053797.0,31261642.9873,215997.0,60108451.8,14454778.44527
2020-10-01 18:00:00,0.2417,0.2446,0.2336,0.2382,175468270.6,42025093.32015,229879.0,82473708.9,19772593.24307
2020-10-02 18:00:00,0.2382,0.2394,0.2281,0.2338,189691672.8,44129062.63833,266511.0,87312093.1,20327773.41911
2020-10-03 18:00:00,0.2338,0.2351,0.2324,0.2327,89235414.1,20838106.79658,586117.0,43412267.0,10139627.41047
2020-10-04 18:00:00,0.2327,0.2503,0.2314,0.2481,307683521.2,74285324.89332,423120.0,160937269.6,38875261.31044
2020-10-05 18:00:00,0.248,0.2545,0.2462,0.2503,423143817.2,105838392.69311,316258.0,203245962.3,50860807.20148
2020-10-06 18:00:00,0.2503,0.2594,0.2399,0.2454,716876357.3,180052242.49278,372559.0,339459516.9,85343645.13297
2020-10-07 18:00:00,0.2455,0.2514,0.2405,0.2486,251014943.2,61834467.03922,270715.0,122138146.4,30109376.23061
2020-10-08 18:00:00,0.2486,0.253,0.242,0.2515,246302219.9,61075509.79144,259901.0,121865838.9,30238750.69262
2020-10-09 18:00:00,0.2514,0.2568,0.2496,0.253,238386707.8,60128171.30037,268728.0,111442772.0,28126634.63285
2020-10-10 18:00:00,0.253,0.2606,0.2525,0.2541,266160647.3,68264040.89925,302750.0,124508648.8,31967793.91296
2020-10-11 18:00:00,0.2541,0.2587,0.2533,0.2554,180315563.0,46170758.83198,298622.0,83995874.4,21513282.99859
2020-10-12 18:00:00,0.2555,0.2584,0.2487,0.2561,286052712.7,72811057.05858,280613.0,129323988.2,32944084.41246
2020-10-13 18:00:00,0.2562,0.2604,0.2527,0.2567,375940643.1,96425422.67638,293865.0,176924296.0,45410881.91313
2020-10-14 18:00:00,0.2567,0.2586,0.246,0.2492,354631919.8,89440956.91526,287230.0,158738067.6,40064911.1433
2020-10-15 18:00:00,0.2492,0.2503,0.2429,0.246,301298581.9,74270177.60682,281782.0,139809419.7,34488138.98916
2020-10-16 18:00:00,0.2459,0.248,0.2373,0.2403,222178346.4,53635858.62831,284957.0,104840847.0,25316559.74998
2020-10-17 18:00:00,0.2402,0.2434,0.2386,0.2408,103864884.8,25053341.65169,331196.0,49482304.6,11939474.22076
2020-10-18 18:00:00,0.2407,0.2437,0.2401,0.2422,81171696.3,19652616.6816,315058.0,37890553.4,9175929.41838
2020-10-19 18:00:00,0.2422,0.2497,0.2401,0.2457,264667127.0,65056617.0235,296504.0,130473025.9,32064188.58766
2020-10-20 18:00:00,0.2457,0.2507,0.2413,0.2434,292779445.1,71808700.17434,296876.0,134425884.3,32977337.09227
2020-09-27 18:00:00,0.2414,0.2446,0.2373,0.2435,127606206.0,30774544.03352,230144.0,64740742.3,15616089.07049
2020-09-28 18:00:00,0.2435,0.2486,0.2393,0.2412,180246890.4,44112234.99364,230623.0,83383804.2,20422414.58105
2020-09-29 18:00:00,0.2412,0.2467,0.2384,0.2428,157871096.6,38277065.07247,245148.0,76897816.3,18652405.16295
2020-09-30 18:00:00,0.2428,0.2429,0.2374,0.2416,130053797.0,31261642.9873,215997.0,60108451.8,14454778.44527
2020-10-01 18:00:00,0.2417,0.2446,0.2336,0.2382,175468270.6,42025093.32015,229879.0,82473708.9,19772593.24307
2020-10-02 18:00:00,0.2382,0.2394,0.2281,0.2338,189691672.8,44129062.63833,266511.0,87312093.1,20327773.41911
2020-10-03 18:00:00,0.2338,0.2351,0.2324,0.2327,89235414.1,20838106.79658,586117.0,43412267.0,10139627.41047
2020-10-04 18:00:00,0.2327,0.2503,0.2314,0.2481,307683521.2,74285324.89332,423120.0,160937269.6,38875261.31044
2020-10-05 18:00:00,0.248,0.2545,0.2462,0.2503,423143817.2,105838392.69311,316258.0,203245962.3,50860807.20148
2020-09-27 18:00:00,0.2414,0.2446,0.2373,0.2435,127606206.0,30774544.03352,230144.0,64740742.3,15616089.07049
2022-01-01 18:00:00,0.8294,0.8558,0.8293,0.8507,328506047.0,277100412.40748,559544.0,163804665.7,138223212.89658
2022-01-02 18:00:00,0.8507,0.8675,0.8369,0.8583,326117059.3,277281544.81283,481156.0,160532067.6,136528790.74068
2022-01-03 18:00:00,0.8583,0.8588,0.8212,0.8324,430284458.4,360702658.39761,575232.0,201179957.4,168692212.66946
2022-01-04 18:00:00,0.8323,0.846,0.8144,0.8228,463785086.0,385050066.64617,607251.0,229296946.9,190458924.77563
2022-01-05 18:00:00,0.8228,0.8375,0.7074,0.7718,863610648.7,685006407.44503,1035220.0,399855414.4,317453716.64124
2022-01-06 18:00:00,0.7719,0.7903,0.7371,0.7787,677161606.2,516421970.33427,796052.0,334841331.3,255397138.6668
2022-01-07 18:00:00,0.7788,0.7805,0.7281,0.7634,875524840.9,661571619.90666,991534.0,435757278.5,329253896.91441
2022-01-08 18:00:00,0.7636,0.7768,0.722,0.745,604036519.2,454051277.69755,725163.0,294677531.7,221482649.08285
2022-01-09 18:00:00,0.7451,0.7665,0.738,0.7529,360483563.5,270851703.75405,514250.0,176974806.0,132996965.15263
2022-01-10 18:00:00,0.7528,0.7585,0.6923,0.7393,796410056.1,581529284.08324,841186.0,391855675.8,286190032.33713
2022-01-01 18:00:00,0.8294,0.8558,0.8293,0.8507,328506047.0,277100412.40748,559544.0,163804665.7,138223212.89658
2022-01-02 18:00:00,0.8507,0.8675,0.8369,0.8583,326117059.3,277281544.81283,481156.0,160532067.6,136528790.74068
2022-01-03 18:00:00,0.8583,0.8588,0.8212,0.8324,430284458.4,360702658.39761,575232.0,201179957.4,168692212.66946
2022-01-04 18:00:00,0.8323,0.846,0.8144,0.8228,463785086.0,385050066.64617,607251.0,229296946.9,190458924.77563
2022-01-05 18:00:00,0.8228,0.8375,0.7074,0.7718,863610648.7,685006407.44503,1035220.0,399855414.4,317453716.64124
2022-01-06 18:00:00,0.7719,0.7903,0.7371,0.7787,677161606.2,516421970.33427,796052.0,334841331.3,255397138.6668
2022-01-07 18:00:00,0.7788,0.7805,0.7281,0.7634,875524840.9,661571619.90666,991534.0,435757278.5,329253896.91441
2022-01-08 18:00:00,0.7636,0.7768,0.722,0.745,604036519.2,454051277.69755,725163.0,294677531.7,221482649.08285
2022-01-09 18:00:00,0.7451,0.7665,0.738,0.7529,360483563.5,270851703.75405,514250.0,176974806.0,132996965.15263
2022-01-10 18:00:00,0.7528,0.7585,0.6923,0.7393,796410056.1,581529284.08324,841186.0,391855675.8,286190032.33713
2022-01-11 18:00:00,0.7394,0.7772,0.7303,0.77,594272052.6,445471566.53326,642314.0,304224868.6,228162315.55555
2022-01-12 18:00:00,0.77,0.8071,0.7568,0.7982,571295284.9,447225383.47647,606507.0,284893945.6,223072602.23348
2022-01-13 18:00:00,0.7983,0.8023,0.7599,0.7674,460185908.0,360326537.10188,494602.0,219292999.3,171761731.01728
2022-01-14 18:00:00,0.7673,0.7903,0.7509,0.7727,481237400.8,371499818.07656,508422.0,238249907.7,183982474.86768
