,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,LINKUSDT,LTCUSDT,PEOPLEUSDT,GALAUSDT,UNFIUSDT,SANDUSDT,THETAUSDT,ATOMUSDT
2024-08-09 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2024-08-11 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.21818999999925
2024-08-12 09:00:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.026467965128177e-13,-0.0,0.0,52.58239999999996
2024-08-13 09:00:00,0.0,12.224979999999922,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-13.482499999999472,-17.245200000000153,0.0,64.57660000000003
2024-08-14 09:00:00,0.0,32.198249999999966,0.0,0.0,-0.0,0.0,-14.40516000000008,0.0,0.0,11.215200000000426,45.42589999999986,0.0,128.19394999999983
2024-08-15 09:00:00,-1.52795109897852e-13,72.70434000000003,0.0,0.0,27.186119999999995,0.0,-36.23961,0.0,0.0,36.872000000000405,81.36039999999998,0.0,188.18939999999984
2024-08-16 09:00:00,-28.22190000000014,61.83350999999997,0.0,0.0,25.349219999999924,0.0,0.0,0.0,0.0,25.55900000000045,74.91109999999979,0.0,176.4955500000002
2024-08-17 09:00:00,-42.94829999999993,50.007150000000046,0.0,0.0,-8.947800000000685,0.0,0.0,0.0,0.0,-35.28669999999924,53.27009999999965,0.0,158.7719700000001
2024-08-18 09:00:00,-17.064299999999932,51.37760999999992,0.0,0.0,29.58341999999926,0.0,0.0,0.0,0.0,-48.2223999999993,37.324099999999824,0.0,172.76427000000007
2024-08-19 09:00:00,-37.82927499999993,36.27107532967024,0.0,0.0,10.917726810258616,-0.0,0.0,0.0,0.0,-96.6114999999993,9.788257769973594,0.0,144.72415509455203
2024-08-20 09:00:00,-28.686074999999967,69.42751532967017,0.0,0.0,-10.618823189741304,-7.280820000000037,0.0,0.0,0.0,-5.313690997913826e-16,2.396257769973529,0.0,99.40708509455214
2024-08-21 09:00:00,-68.8202499999996,38.14642252747243,0.0,0.0,-50.67494138727578,0.0,0.0,0.0,0.0,-1.8340884366807589e-13,-59.90358433713813,0.0,105.29360655560572
2024-08-22 09:00:00,-53.4182499999997,41.88070252747249,0.0,0.0,-39.39704138727564,0.0,0.0,0.0,0.0,-14.455000000000243,-68.15198433713802,0.0,120.71120655560564
2024-08-23 09:00:00,-126.8182499999996,-28.74677747252738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1429999999999,0.0,0.0,1.51313290777996e-15
2024-08-24 09:00:00,-64.85812499999977,-15.96906618024508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.86924312915392,0.0,2.35585000000004,-0.0
2024-08-25 09:00:00,-65.96362499999974,-8.425146180244823,-19.448749999999933,0.0,0.0,0.0,0.0,-25.795319999999904,-4.828340000000108,-0.130356870846117,0.0,-28.13558000000004,50.249580000000016
2024-08-26 09:00:00,-45.22462499999976,14.010533819755114,-38.89750000000004,0.0,0.0,0.0,0.0,-50.58888000000002,-67.59675999999999,-58.432756870846056,0.0,-59.43473000000002,81.43282999999998
2024-08-27 09:00:00,6.121875000000218,90.81541381975516,-71.41580999999988,0.0,0.0,0.0,-0.0,-116.07893999999996,-122.90320000000004,-2.9528170101249145e-14,0.0,1.8371792975813162e-14,134.35526000000002
2024-08-28 09:00:00,11.43366666666686,51.63402701969692,-57.8903724659165,0.0,0.0,0.0,-21.565849999999937,-128.6794044759955,0.0,-1.5401013797600177e-13,0.0,-0.0,116.38767497720504
2024-08-29 09:00:00,6.422466666666849,52.008947019696976,0.0,0.0,0.0,0.0,-31.084569999999943,-65.83120447599563,0.0,4.1615999999998845,0.0,14.718039999999858,114.38777497720486
2024-08-30 09:00:00,9.339259259259329,45.90238966398368,0.0,0.0,0.0,0.0,-61.36806239910317,-32.15773190086234,0.0,12.881869075799344,0.0,16.489750319112026,91.64531242092944
2024-08-31 09:00:00,11.809659259259352,50.68966966398365,0.0,0.0,0.0,0.0,-61.938382399103055,-36.05503190086227,-45.8973899999999,1.8834690757991777,0.0,31.59982031911188,108.9844124209294
2024-09-01 09:00:00,31.35474814814826,67.53105319544011,0.0,-0.0,-0.0,0.0,-33.559959473094125,0.0,-96.18803999999992,-75.80813407202254,-0.0,58.30591207075961,136.4344544664445
2024-09-02 09:00:00,7.38274814814826,33.98624319544022,0.0,-38.724000000000046,-30.87720000000009,0.0,-53.73618947309416,0.0,-60.42581999999996,-24.87153407202252,-45.90689999999999,34.2055320707596,113.15661446644437
2024-09-03 09:00:00,28.965348148148223,67.68055319544011,0.0,5.430000000000007,-13.1132800000001,0.0,-42.56516947309411,0.0,-100.2986399999999,-61.03953407202256,-19.4103,69.28357207075953,168.31497446644437
2024-09-04 09:00:00,22.557648148148203,60.02017319544014,0.0,-30.91799999999995,-22.490800000000064,0.0,-54.30613947309412,0.0,-79.3345799999999,-49.88773407202258,-45.598800000000026,58.30591207075961,174.38745446644447
2024-09-05 09:00:00,38.87734074074085,84.6278731954402,0.0,-4.629999999999939,-24.759850000000043,-0.0,-9.61739905451926e-15,0.0,-107.28665999999988,-76.10953407202246,-25.07400000000005,84.61444207075954,202.3883344664446
