timestamp,strategy,symbol,side,order_type,quantity,price,status,order_id
2024-08-30 00:00:15,BbandsApproachUTStrategy,UNFIUSDT,BUY,MARKET,50.3,2.662,placed,6201255044
2024-08-30 00:00:15,BbandsApproachUTStrategy,ATOMUSDT,SELL,MARKET,29.78,4.603,placed,19908721342
2024-08-30 00:00:15,BbandsApproachUTStrategy,ETHUSDT,SELL,MARKET,0.055,2525.33,placed,8389765714893090736
2024-08-30 00:00:15,BbandsApproachUTStrategy,THETAUSDT,SELL,MARKET,125.3,1.2227,placed,13796378537
2024-08-31 00:00:13,BbandsApproachUTStrategy,LTCUSDT,BUY,MARKET,2.69,64.91,closed,31718244529
2024-08-31 00:00:13,BbandsApproachUTStrategy,PEOPLEUSDT,SELL,MARKET,2264.0,0.07101,closed,9460148816
2024-08-31 00:00:13,BbandsApproachUTStrategy,UNFIUSDT,SELL,MARKET,53.4,2.692,closed,6201255044
2024-08-31 00:00:13,BbandsApproachUTStrategy,ATOMUSDT,BUY,MARKET,30.47,4.642,closed,19908721342
2024-08-31 00:00:14,BbandsApproachUTStrategy,BTCUSDT,BUY,MARKET,0.002,59086.2,closed,396011039018
2024-08-31 00:00:14,BbandsApproachUTStrategy,ETHUSDT,BUY,MARKET,0.053,2524.97,closed,8389765714893090736
2024-08-31 00:00:14,BbandsApproachUTStrategy,THETAUSDT,BUY,MARKET,105.6,1.2193,closed,13796378537
2024-08-31 00:00:14,BbandsApproachUTStrategy,GALAUSDT,BUY,MARKET,46361.0,0.01996,placed,16852967904
2024-09-02 00:00:10,BbandsApproachUTStrategy,PEOPLEUSDT,SELL,MARKET,12991.0,0.05882,closed,9460148816
2024-09-02 00:00:10,BbandsApproachUTStrategy,BTCUSDT,BUY,MARKET,0.003,57266.0,closed,396011039018
2024-09-02 00:00:10,BbandsApproachUTStrategy,LTCUSDT,BUY,MARKET,2.859,63.48,closed,31718244529
2024-09-02 00:00:10,BbandsApproachUTStrategy,ETHUSDT,BUY,MARKET,0.067,2423.7,closed,8389765714893090736
2024-09-02 00:00:11,BbandsApproachUTStrategy,THETAUSDT,BUY,MARKET,128.4,1.148,closed,13796378537
2024-09-02 00:00:11,BbandsApproachUTStrategy,ATOMUSDT,BUY,MARKET,30.62,4.292,closed,19908721342
2024-09-02 00:00:11,BbandsApproachUTStrategy,UNFIUSDT,SELL,MARKET,42.3,2.4,closed,6201255044
2024-09-02 00:00:11,BbandsApproachUTStrategy,GALAUSDT,SELL,MARKET,5255.0,0.01762,closed,16852967904
2024-09-02 00:00:12,BbandsApproachUTStrategy,SOLUSDT,SELL,MARKET,6.0,128.338,placed,65935437450
2024-09-02 00:00:12,BbandsApproachUTStrategy,DOGEUSDT,SELL,MARKET,7624.0,0.09501,placed,50638975948
2024-09-02 00:00:12,BbandsApproachUTStrategy,SANDUSDT,SELL,MARKET,3081.0,0.2351,placed,16801203958
2024-09-06 00:00:20,BbandsApproachUTStrategy,LTCUSDT,BUY,MARKET,11.399,65.98,closed,31718244529
2024-09-06 00:00:20,BbandsApproachUTStrategy,SOLUSDT,BUY,MARKET,1.0,129.288,closed,65935437450
2024-09-06 00:00:20,BbandsApproachUTStrategy,SANDUSDT,BUY,MARKET,96.0,0.2434,closed,16801203958
2024-09-06 00:00:21,BbandsApproachUTStrategy,DOGEUSDT,BUY,MARKET,233.0,0.09838,closed,50638975948
2024-09-06 00:00:21,BbandsApproachUTStrategy,BTCUSDT,BUY,MARKET,0.002,56157.0,closed,396011039018
2024-09-06 00:00:21,BbandsApproachUTStrategy,UNFIUSDT,BUY,MARKET,2.1,2.403,placed,6201255044
2024-09-06 00:00:21,BbandsApproachUTStrategy,GALAUSDT,BUY,MARKET,801.0,0.01734,placed,16852967904
2024-09-06 09:00:21,BbandsApproachUTStrategy,ETHUSDT,SELL,MARKET,0.008,,failed,
2024-09-06 00:00:21,BbandsApproachUTStrategy,THETAUSDT,SELL,MARKET,26.3,1.1062,placed,13796378537
2024-09-06 00:00:21,BbandsApproachUTStrategy,ATOMUSDT,SELL,MARKET,17.6,3.904,placed,19908721342
2024-09-06 00:00:21,BbandsApproachUTStrategy,LINKUSDT,SELL,MARKET,72.55,10.022,placed,34024930499
