open_time,open,high,low,close,volume,quote_asset_vol,trade_num,taker_buy_base_vol,taker_buy_quote_vol
2020-11-11 09:00:00,0.10801,0.1195,0.09175,0.09423,234967430.0,24668304.57058,184897.0,120492973.0,12702735.51959
2020-11-12 09:00:00,0.09398,0.1036,0.08201,0.09872,331337766.0,30227967.93768,187355.0,167143843.0,15304489.8273
2020-11-13 09:00:00,0.09872,0.12636,0.09602,0.10685,692496048.0,77401474.21321,479676.0,355668085.0,39806953.06059
2020-11-14 09:00:00,0.10686,0.11835,0.09864,0.10962,306048070.0,33374486.12064,204558.0,150572215.0,16432453.29375
2020-11-15 09:00:00,0.10949,0.119,0.10165,0.10735,216889917.0,24023532.78119,141007.0,102634822.0,11385338.66255
2020-11-16 09:00:00,0.10736,0.10754,0.09977,0.10099,108453178.0,11199972.45106,91723.0,48907259.0,5052593.56426
2020-11-17 09:00:00,0.10105,0.1022,0.08853,0.098,218539446.0,20866422.38442,148728.0,96090441.0,9182757.39564
2020-11-18 09:00:00,0.09801,0.09892,0.08507,0.08847,116194606.0,10455754.13949,88688.0,51745618.0,4650059.17476
2020-11-19 09:00:00,0.08836,0.095,0.08628,0.08894,112940843.0,10218588.62812,70992.0,51085560.0,4628843.24358
2020-11-20 09:00:00,0.08888,0.09224,0.0874,0.08899,67301035.0,6040899.17022,40120.0,29291505.0,2632839.38687
2020-11-21 09:00:00,0.08902,0.08966,0.08382,0.08615,121254680.0,10475066.41297,67706.0,48621659.0,4206027.02214
2020-11-22 09:00:00,0.08616,0.0864,0.07379,0.07932,136401550.0,10816159.31656,67116.0,58140711.0,4606618.13607
2020-11-23 09:00:00,0.07947,0.09522,0.07947,0.08728,214654482.0,19052079.15408,93160.0,98585059.0,8765367.69036
2020-11-24 09:00:00,0.08736,0.09286,0.0824,0.08694,137711955.0,12017726.55903,76360.0,60920624.0,5325287.33216
2020-11-25 09:00:00,0.08684,0.0947,0.0856,0.08899,114042330.0,10314258.56492,70537.0,52107076.0,4719062.2831
2020-11-26 09:00:00,0.0889,0.09463,0.06682,0.07708,136952331.0,10786343.19396,64123.0,62902908.0,4954956.09285
2020-11-27 09:00:00,0.07709,0.08097,0.072,0.07976,41283167.0,3141761.46183,23232.0,20319583.0,1549743.20695
2020-11-28 09:00:00,0.07979,0.0835,0.07619,0.08216,34840156.0,2771080.51469,21281.0,16018056.0,1274903.923
2020-11-29 09:00:00,0.08219,0.08259,0.07933,0.08079,26738426.0,2163066.93702,18857.0,12287943.0,995940.53633
2020-11-30 09:00:00,0.08068,0.08568,0.07724,0.08167,72282022.0,5894977.50404,43331.0,31356641.0,2559801.59944
2020-12-01 09:00:00,0.08165,0.09585,0.078,0.08544,196190432.0,17144590.61926,101093.0,93818475.0,8207915.51346
2020-12-02 09:00:00,0.08543,0.139,0.084,0.12596,861746534.0,101101746.18374,446324.0,450115088.0,52904529.27683
2020-12-03 09:00:00,0.12585,0.1405,0.11006,0.12118,681075038.0,85617152.48961,424468.0,335773392.0,42351976.90827
